Ek,frame,F_I/F_C,F_V/F_C,F_B/F_C,buoyancy_power,viscous_dissipation,classification,confidence,pressure_caveat
0.0001499999999997,120,0.0113742702311656,0.13715945617757752,0.3041052832803608,4.915022326657999e-07,2.977698514694532e-07,Geostrophic-compatible; VAC/B mixed residual,medium,pressure not saved; leading C-P cancellation not directly tested
0.0002000000000006,120,0.0254380093779242,0.1109691525097236,0.7911985913738729,6.102905159019703e-08,2.4262433954658725e-08,Geostrophic-compatible; VAC/B mixed residual,medium,pressure not saved; leading C-P cancellation not directly tested
0.0004999999999999,80,1.4368159552875512,0.20027548975159393,0.7163182472576402,1.3594042720957787e-05,3.429538572050276e-06,Rotation-affected transitional,medium,pressure not saved; leading C-P cancellation not directly tested
0.0007000000000004,80,0.0388781935595891,0.02944474489386428,0.9589260586459231,1.9761035272393687e-09,6.487988936221043e-08,Geostrophic-compatible; mixed residual,medium,pressure not saved; leading C-P cancellation not directly tested
0.0009999999999999,124,4.155015551244484,0.19340395415397782,0.554527287294741,0.0002025366752248,0.0001291788105047,Inertial / weakly rotation-affected,medium,pressure not saved; leading C-P cancellation not directly tested
0.0020000000000066,66,5.642457089358726,0.3320546923129113,1.1703966070505638,0.0001961429979372,0.0001014940887966,Inertial / weakly rotation-affected,medium,pressure not saved; leading C-P cancellation not directly tested
0.0030000000000008,307,5.394374229635145,0.39767578792753266,1.8224658628825818,0.0001667559762246,7.081577270066838e-05,Inertial / weakly rotation-affected,medium,pressure not saved; leading C-P cancellation not directly tested
0.0049999999999996,240,10.473484280169126,0.7270323329779654,2.8633972285265035,0.000145874214728,6.412983217579948e-05,Inertial / weakly rotation-affected,medium,pressure not saved; leading C-P cancellation not directly tested
0.0070000000000042,220,6.761621225167606,0.8223546139784247,4.374869183469976,0.0001076572261697,5.033288284233353e-05,Inertial / weakly rotation-affected,medium,pressure not saved; leading C-P cancellation not directly tested
0.0099999999999993,239,13.200882573851835,1.1906844031385986,5.580541152642304,0.000100955759355,4.509052327664755e-05,Inertial / weakly rotation-affected,medium,pressure not saved; leading C-P cancellation not directly tested
0.0300000000000081,240,49.02476030890782,4.008136544917844,15.567512786616422,7.059080167168275e-05,4.409928069896197e-05,Inertial / weakly rotation-affected,medium,pressure not saved; leading C-P cancellation not directly tested
0.0499999999999967,125,63.44912976036839,6.001852406282227,23.90167327866853,6.458411266977954e-05,4.422784421060919e-05,Inertial / weakly rotation-affected,medium,pressure not saved; leading C-P cancellation not directly tested
0.0999999999999935,197,99.70967134207552,13.653435207916647,58.36524467302796,7.582947461708363e-05,4.9429916855453095e-05,Inertial / weakly rotation-affected,medium,pressure not saved; leading C-P cancellation not directly tested
,164,inf,,,7.36677587561433e-05,4.817259648845624e-05,Nonrotating: I-B-V,high,not applicable
